Date,Order,Num-Forecast,neg_ASEAN,pos_ASEAN,neu_ASEAN,Topic_probability_ASEAN,Topic-wise_Values_ASEAN,tsf_lr_neg_ASEAN,tsf_lr_neu_ASEAN,tsf_lr_pos_ASEAN,neg_technology,pos_technology,neu_technology,Topic_probability_technology,Topic-wise_Values_technology,tsf_lr_neg_technology,tsf_lr_neu_technology,tsf_lr_pos_technology,neg_fuel,pos_fuel,neu_fuel,Topic_probability_fuel,Topic-wise_Values_fuel,tsf_lr_neg_fuel,tsf_lr_neu_fuel,tsf_lr_pos_fuel,neg_stock,pos_stock,neu_stock,Topic_probability_stock,Topic-wise_Values_stock,tsf_lr_neg_stock,tsf_lr_neu_stock,tsf_lr_pos_stock,neg_market,pos_market,neu_market,Topic_probability_market,Topic-wise_Values_market,tsf_lr_neg_market,tsf_lr_neu_market,tsf_lr_pos_market,neg_Equipment,pos_Equipment,neu_Equipment,Topic_probability_Equipment,Topic-wise_Values_Equipment,tsf_lr_neg_Equipment,tsf_lr_neu_Equipment,tsf_lr_pos_Equipment
2019-02,504.0252238,497.61,0.15895868,0.7711213,0.012886862,0.667689175,0.230432357,3.94E-05,4.26E-05,0.999686734,0.10292013,0.49897465,0.015325285,0.766163528,0.183956203,6.74E-05,2.58E-05,0.659808285,0.207992,0.6384315,0.011613308,0.662088335,0.181718716,0.000252971,0.00023794,0.990205262,0.18472928,0.5544332,0.017257692,0.826735676,0.124308108,5.15E-05,0.000287223,0.924317972,0.181555871,0.348493995,0.0145651,0.700675279,0.226814652,0.002137574,0.000216944,0.021976725,,,,,,,,
2019-03,619.0566381,609.69,0.12771914,0.6193884,0.015872784,0.600474447,0.231910193,0.000181773,2.64E-05,0.966170443,0.14542033,0.74809778,0.014374509,0.752065659,0.13295421,8.80E-05,9.39E-05,0.999579251,0.245265025,0.654966175,0.01887573,0.662373811,0.22007129,0.000428587,7.59E-05,0.994465035,0.18071021,0.33860512,0.017654482,0.732250005,0.106267329,0.000369718,0.000510279,0.011205247,0.08419136,0.9041597,0.012986991,0.848830044,0.21706359,2.09E-06,8.49E-06,0.999989426,,,,,,,,
2019-04,589.2098267,581.02,0.23413052,0.7274307,0.008700417,0.569551438,0.183570115,0.000383337,0.000102324,0.999249913,0.17327957,0.6012435,0.016065285,0.719980121,0.171804728,0.000127498,7.44E-05,0.96679677,0.124335332,0.7734401,0.013444995,0.585122288,0.194679331,5.24E-05,7.87E-05,0.999746928,0.15579963,0.5702624,0.014294683,0.587839603,0.11886432,0.00024175,0.000383027,0.9232528,0.24793651,0.58058361,0.011755923,0.636885673,0.094824172,0.003145476,0.000118409,0.730300074,,,,,,,,
2019-05,567.4572794,560.8,0.115964845,0.50303672,0.019597431,0.632475883,0.241430274,5.12E-05,9.38E-05,0.581680717,0.152598255,0.636053505,0.015483099,0.750383616,0.143851664,0.000226749,0.00018232,0.990198266,0.12513433,0.6924516,0.015278091,0.65872556,0.221279845,0.000128449,6.50E-05,0.998058877,0.16050392,0.63094157,0.015814723,0.637244523,0.123454368,8.96E-05,0.000109562,0.982614185,0.26490957,0.347749145,0.014791776,0.715946823,0.127818562,0.003170011,0.000498869,0.019072875,0.19807678,0.57675767,0.013189707,0.46015957,0.192814004,0.004563639,0.002005522,0.931678132
2019-06,518.9057302,513.18,0.27184615,0.398697,0.013169589,0.640807867,0.190708696,0.00085851,0.000245298,0.040983522,0.097377328,0.7584326,0.018112812,0.84867543,0.153775128,4.64E-05,7.66E-05,0.99967604,0.17899324,0.5847125,0.014230787,0.601937383,0.201886494,0.000107105,0.000160161,0.938424401,0.08378642,0.51338565,0.04986828,0.530558646,0.153174342,3.69E-05,0.000151126,0.674413134,0.20152343,0.64176053,0.013190174,0.647652835,0.110559644,0.002252654,0.000235481,0.987148686,,,,,,,,
2019-07,568.7577495,562.56,0.08600482,0.669275025,0.014113101,0.719973177,0.2401339,3.16E-05,0.000528429,0.975779042,0.20887974,0.33738136,0.023355627,0.710885108,0.183868409,0.000343562,0.000223217,0.005980548,0.12005305,0.7321652,0.018407336,0.731393933,0.166472564,0.000256949,0.000172021,0.999436801,0.074502105,0.228683535,0.203037285,0.748021603,0.08398655,0.00015249,0.003580578,0.00122836,0.2226541,0.64607006,0.009441472,0.58728832,0.120149339,0.002675227,0.000626543,0.991389599,,,,,,,,
2019-08,517.4997877,510.03,0.09775894,0.5529273,0.022562753,0.568580508,0.200983081,3.00E-05,0.000190683,0.868660222,0.11192867,0.83735645,0.015323574,0.688671827,0.183674801,1.07E-05,2.67E-05,0.999955106,0.06303459,0.86459076,0.027377341,0.672391236,0.272338013,4.74E-06,2.17E-05,0.99995519,0.17373373,0.38286778,0.013604267,0.758990109,0.099851541,0.000197412,0.000115993,0.030298543,0.14753975,0.57287541,0.018682567,0.594478935,0.103541515,0.000445302,0.000836186,0.906870954,,,,,,,,
2019-09,566.8298767,559.38,0.145055875,0.75081685,0.013614752,0.628092468,0.232339199,9.35E-05,8.43E-05,0.999628264,0.21749257,0.74243784,0.010819189,0.581611216,0.130403976,0.000232553,9.44E-05,0.999524603,0.13404635,0.75854343,0.012468794,0.635370493,0.201422908,5.23E-05,7.91E-05,0.999713151,0.23986118,0.3674625,0.025115563,0.705092788,0.109821976,0.003378843,0.000103208,0.018161175,0.2642126,0.22760983,0.019405097,0.657703638,0.129356697,0.0007415,0.000144199,0.000189997,,,,,,,,
2019-10,630.52266,622.23,0.07700223,0.6271267,0.018569272,0.63302809,0.261608539,2.96E-05,6.31E-05,0.985336599,0.16564548,0.808119975,0.013111564,0.761990965,0.185098356,2.80E-05,2.73E-05,0.999903409,0.12462397,0.84874285,0.013299199,0.620954782,0.226098126,1.12E-05,2.10E-05,0.999967846,0.14511699,0.552758425,0.013531152,0.750311136,0.079115908,0.000269662,0.000141133,0.870008744,0.28543326,0.6277741,0.011254866,0.645940781,0.161511243,0.001247787,6.64E-05,0.985460508,,,,,,,,
2019-11,521.4572965,514.76,0.1389271,0.7192697,0.01588037,0.69794935,0.231198002,4.29E-05,0.000166034,0.999099815,0.20736706,0.751458225,0.013224596,0.751575649,0.162275361,0.000101918,6.58E-05,0.99955773,0.072061815,0.87374025,0.014531171,0.703503251,0.268760289,4.68E-06,1.43E-05,0.999980982,0.18924913,0.42571232,0.024814239,0.682963371,0.110303735,0.000490872,0.001208346,0.123482091,0.21327753,0.4649333,0.015523607,0.819130838,0.119241086,0.00012497,9.24E-05,0.259734413,,,,,,,,
