Date,Order,neg_EV,pos_EV,neu_EV,Topic_probability_EV,Topic-wise_Values_EV,tsf_neg_EV,tsf_neu_EV,tsf_pos_EV,neg_Technology,pos_Technology,neu_Technology,Topic_probability_Technology,Topic-wise_Values_Technology,tsf_neg_Technology,tsf_neu_Technology,tsf_pos_Technology,neg_ASEAN,pos_ASEAN,neu_ASEAN,Topic_probability_ASEAN,Topic-wise_Values_ASEAN,tsf_neg_ASEAN,tsf_neu_ASEAN,tsf_pos_ASEAN,neg_market,pos_market,neu_market,Topic_probability_market,Topic-wise_Values_market,tsf_neg_market,tsf_neu_market,tsf_pos_market,neg_semicon,pos_semicon,neu_semicon,Topic_probability_semicon,Topic-wise_Values_semicon,tsf_neg_semicon,tsf_neu_semicon,tsf_pos_semicon
1/8/2020 0:00,599.7100724,0.002148092,0.976886215,0.018301765,0.594061053,0.480365426,7.82E-05,1.44E-05,0.99988618,0.000844066,0.98396873,0.01394398,0.630240065,0.422770939,8.61E-05,1.67E-05,0.999886124,0.00117333,0.62749857,0.052168943,0.603557937,0.384984477,8.13E-05,8.25E-05,0.948536817,0.000554802,0.9874225,0.012022723,0.422076254,0.393202714,7.53E-05,1.45E-05,0.999909504,0.015006023,0.030758195,0.76035833,0.461324804,0.403770122,7.10E-05,0.996392885,0.000785327
1/9/2020 0:00,596.0852742,0.000845333,0.9827327,0.016422009,0.526878351,0.459278754,8.38E-05,1.45E-05,0.999895953,0.002096578,0.95039645,0.014805866,0.609229628,0.426299875,0.000103116,3.40E-05,0.999839338,0.002981669,0.06518062,0.14429441,0.607377979,0.36738164,9.92E-05,0.001447424,0.000481601,0.000372653,0.9962895,0.003351718,0.517169538,0.394729014,7.13E-05,1.33E-05,0.999916816,0.001276363,0.93822354,0.03459721,0.515795803,0.375422313,9.41E-05,3.93E-05,0.999833729
1/10/2020 0:00,540.2587132,0.000365843,0.9954177,0.004225912,0.67428005,0.512974809,7.94E-05,9.76E-06,0.999909659,0.001153535,0.9028945,0.047545835,0.49067987,0.421447083,8.25E-05,4.89E-05,0.999684438,0.001945103,0.48035949,0.27233348,0.543367772,0.391124345,7.86E-05,0.017997582,0.601365392,0.66857142,0.168862123,0.068432423,0.467555848,0.245951466,0.954139663,0.000985103,0.039962188,0.00175214,0.100195504,0.116535614,0.486249873,0.396083666,8.29E-05,0.002215501,0.001075721
1/11/2020 0:00,478.1792523,0.000665375,0.986102135,0.011225928,0.651613317,0.499915236,7.93E-05,1.30E-05,0.999902181,0.000777051,0.9842406,0.015142413,0.549594053,0.424597319,8.81E-05,1.48E-05,0.999895932,0.001540893,0.41185614,0.029356079,0.559297583,0.3768889,8.86E-05,7.36E-05,0.312172448,0.001891172,0.8284882,0.05634612,0.455433846,0.354410607,8.13E-05,0.000168934,0.9990251,0.004380253,0.6715458,0.26844624,0.529501469,0.392697195,0.00012501,0.007892401,0.988726058
1/12/2020 0:00,505.2890324,0.000736869,0.95101777,0.027179785,0.734606819,0.493621861,9.39E-05,3.20E-05,0.999843111,0.001147129,0.982729425,0.008801262,0.587138788,0.425583623,8.94E-05,1.58E-05,0.99989111,0.001685785,0.34683186,0.07636245,0.622085488,0.381452403,8.46E-05,0.000105326,0.036614094,0.000671598,0.99267864,0.006762867,0.647258787,0.341586129,7.46E-05,1.42E-05,0.999911688,0.002930362,0.528945872,0.019674277,0.44763035,0.409099297,0.000106842,3.52E-05,0.500051083
1/1/2021 0:00,512.2768875,0.000952572,0.9755391,0.017427399,0.547888457,0.454828207,9.69E-05,1.76E-05,0.999885509,0.001561643,0.82011273,0.050021339,0.58362618,0.417948404,0.000101991,7.83E-05,0.99881176,0.001273193,0.795828725,0.07593574,0.638088344,0.387452799,8.38E-05,0.00011505,0.998280184,0.001718868,0.73284994,0.265431259,0.631967972,0.269167,0.00019078,0.30215773,0.694621256,0.003007116,0.6136075,0.02754667,0.433624808,0.416639339,0.000106046,4.82E-05,0.939360979
1/2/2021 0:00,528.7909221,0.002289533,0.91509295,0.026854753,0.599581065,0.460339882,0.000192238,3.76E-05,0.999752101,0.000560355,0.991855825,0.00627811,0.564993623,0.43439734,8.28E-05,1.34E-05,0.99990051,0.001377667,0.36634654,0.065537944,0.511207361,0.391215865,7.91E-05,0.000191783,0.072971122,0.00118128,0.89924765,0.033909783,0.675588394,0.412047467,9.81E-05,5.06E-05,0.999582072,0.000483455,0.99036545,0.009193412,0.551737673,0.407742229,7.03E-05,1.30E-05,0.99991555
1/3/2021 0:00,527.2156543,0.001163827,0.969920035,0.008786395,0.569213962,0.49357727,7.93E-05,1.83E-05,0.999878897,0.000685286,0.98548115,0.007125842,0.573657015,0.419777026,8.64E-05,1.58E-05,0.999899458,0.004293152,0.17838446,0.024006944,0.607218012,0.386079031,0.000101886,6.20E-05,0.003681507,0.00109847,0.82376385,0.1651422,0.553342241,0.248622768,9.04E-05,0.000589593,0.998960711,0.013097095,0.09405646,0.07082375,0.420676488,0.391133663,0.000138306,6.48E-05,0.000418451
1/4/2021 0:00,568.2280569,0.00118484,0.9516573,0.036592983,0.532538786,0.440427427,0.000109819,2.64E-05,0.999853768,0.00130055,0.9286754,0.010133753,0.574785393,0.429285896,8.79E-05,4.93E-05,0.999775174,0.002710576,0.47564346,0.116465755,0.546362188,0.342850591,0.000228331,0.000278594,0.397232547,0.002123424,0.912382125,0.08408413,0.59220834,0.38023783,8.09E-05,0.000182333,0.999596021,0.001502661,0.50943786,0.488457385,0.540131905,0.397936656,8.13E-05,0.432314531,0.56303867
1/5/2021 0:00,630.3448146,0.001562273,0.16370124,0.11599942,0.594357435,0.378513653,0.000269338,0.000140145,0.000764877,0.002241243,0.82645842,0.166710235,0.590569365,0.406368749,9.64E-05,0.000742788,0.998670199,0.003514217,0.059969572,0.123091585,0.586627342,0.387320362,8.11E-05,0.00037749,0.000240951,0.002156006,0.55325299,0.069478342,0.518999151,0.322949143,7.66E-05,0.000128596,0.505184159,0.001471713,0.86747977,0.060701491,0.484689876,0.406807399,0.000143536,8.67E-05,0.999519894
1/6/2021 0:00,561.3762161,0.000605995,0.9886808,0.010713189,0.569834348,0.470260502,8.09E-05,1.26E-05,0.999899329,0.001117529,0.8621988,0.013441354,0.677556766,0.4308623,8.92E-05,4.78E-05,0.999412252,0.001411974,0.50554251,0.097238285,0.580180182,0.35969946,9.14E-05,0.000335213,0.655369295,0.000807973,0.9464819,0.05230328,0.692343963,0.379936939,7.77E-05,4.74E-05,0.999834223,0.000580262,0.979387,0.020001644,0.389337962,0.427733179,7.44E-05,1.47E-05,0.999902037
1/7/2021 0:00,746.8983236,0.00078794,0.9510227,0.011494678,0.640974072,0.495754282,8.54E-05,2.74E-05,0.999843413,0.000947922,0.96112377,0.011269536,0.659704543,0.429333848,9.11E-05,2.67E-05,0.999856434,0.001702105,0.433953465,0.341917565,0.539081574,0.385230214,8.30E-05,0.024589554,0.331226789,0.002572088,0.124608672,0.56528336,0.428868858,0.366266837,8.86E-05,0.51181338,0.000584214,0.003440009,0.5420238,0.048895009,0.533456871,0.385273635,9.66E-05,6.40E-05,0.657854644
1/8/2021 0:00,600.1224048,0.000994485,0.488623279,0.333636955,0.520999773,0.443373699,8.87E-05,0.437897105,0.501190108,0.002013673,0.918997285,0.04824845,0.585830949,0.405767704,0.000134379,4.88E-05,0.99975476,0.002699579,0.5197062,0.10550901,0.555884952,0.379878276,7.83E-05,0.000173223,0.643893826,0.002516259,0.98533215,0.012151526,0.5189264,0.348328667,7.64E-05,1.62E-05,0.999903141,0.002077431,0.94673885,0.029772112,0.457513133,0.406507452,7.28E-05,3.25E-05,0.999847473
1/9/2021 0:00,603.7876211,0.001660712,0.9895297,0.008809588,0.427182872,0.457536003,8.16E-05,1.19E-05,0.999906488,0.001317392,0.97377336,0.015470365,0.594631492,0.424469785,9.60E-05,1.98E-05,0.999869804,0.000854343,0.92641869,0.038859427,0.567256043,0.381197409,7.80E-05,6.60E-05,0.999775429,0.001224154,0.9818124,0.016969807,0.535211311,0.358604515,8.23E-05,1.73E-05,0.99990039,0.000714075,0.9181333,0.019489255,0.479247261,0.403580734,7.02E-05,6.18E-05,0.99977936
1/10/2021 0:00,653.0889819,0.000723162,0.9895831,0.009715533,0.481865914,0.463494085,8.54E-05,1.18E-05,0.999902821,0.000602043,0.987044615,0.008806907,0.649402264,0.434622206,8.28E-05,1.51E-05,0.999893062,0.001062183,0.942997095,0.04158457,0.559391364,0.374914701,9.00E-05,3.99E-05,0.999830765,0.000467857,0.9947818,0.00475046,0.514237116,0.413216181,6.94E-05,1.27E-05,0.999917828,0.000671978,0.9745464,0.00975938,0.424020794,0.413344375,7.25E-05,1.78E-05,0.999896769
1/11/2021 0:00,604.3181242,0.000444881,0.9946432,0.004971246,0.451470097,0.463068154,7.87E-05,1.11E-05,0.999909557,0.001152465,0.84029235,0.029434417,0.638373778,0.429997362,8.52E-05,5.04E-05,0.998595944,0.000565096,0.9936059,0.005629723,0.575443925,0.399122518,7.62E-05,1.36E-05,0.999908225,0.000890677,0.8151847,0.022382861,0.641827606,0.329583668,8.33E-05,7.82E-05,0.998714967,0.001103624,0.95800235,0.016354729,0.463375991,0.425212613,7.27E-05,2.59E-05,0.999874441
1/12/2021 0:00,642.9904903,0.00051416,0.9949815,0.004232847,0.559761864,0.479886109,7.98E-05,1.14E-05,0.999908992,0.0005782,0.992342525,0.006498563,0.584293606,0.431961194,8.43E-05,1.35E-05,0.99989951,0.000839773,0.962491565,0.012629721,0.620144554,0.394039251,8.16E-05,2.62E-05,0.999867344,0.000695512,0.9916101,0.007928721,0.54930155,0.41994855,7.08E-05,1.41E-05,0.99991331,0.000794124,0.97314945,0.016270001,0.479518439,0.406856447,7.81E-05,1.73E-05,0.999896907
1/1/2022 0:00,619.6573863,0.00058037,0.988242225,0.011177367,0.651851404,0.47027018,8.41E-05,1.30E-05,0.999902895,0.001202841,0.92060015,0.015919863,0.624884126,0.426102585,9.03E-05,4.35E-05,0.99975083,0.000777752,0.9855171,0.008667766,0.614597925,0.391670557,7.92E-05,1.51E-05,0.999898903,0.003779189,0.628406195,0.025571621,0.498512056,0.36530438,8.96E-05,9.35E-05,0.948004506,0.000965424,0.97884727,0.02018743,0.39532822,0.402997583,8.01E-05,1.65E-05,0.999894925
1/2/2022 0:00,631.1159859,0.000673676,0.984136685,0.012000385,0.644814999,0.499368147,8.48E-05,1.28E-05,0.999898235,0.001302278,0.911849055,0.029490593,0.649683163,0.409471746,9.27E-05,4.45E-05,0.999725655,0.001901881,0.49197902,0.048768912,0.621690815,0.380799502,0.000101039,9.18E-05,0.536088851,0.000542791,0.9905711,0.008955336,0.4899879,0.390246089,7.47E-05,1.46E-05,0.999911325,0.001015385,0.89428514,0.07855316,0.484784927,0.411654544,7.37E-05,6.05E-05,0.999696511
1/3/2022 0:00,750.6905661,0.000687251,0.9849488,0.013885028,0.64772332,0.481623738,8.30E-05,1.32E-05,0.999898571,0.000889959,0.98210394,0.012536249,0.518932475,0.417877053,8.56E-05,1.59E-05,0.99989228,0.000911662,0.93820575,0.025690993,0.539287035,0.386663776,8.47E-05,4.61E-05,0.999807091,0.00153929,0.093473458,0.043493169,0.524965966,0.375958889,0.000179649,0.00015949,0.016245654,0.002219199,0.4352828,0.034928037,0.486344531,0.399967255,8.96E-05,7.32E-05,0.493598818
